2020-01-01,2¡æ,7¡æ
2020-01-02,5¡æ,8¡æ
2020-01-03,4¡æ,7¡æ
2020-01-04,6¡æ,11¡æ
2020-01-05,7¡æ,10¡æ
2020-01-06,4¡æ,9¡æ
2020-01-07,2¡æ,7¡æ
2020-01-08,0¡æ,7¡æ
2020-01-09,2¡æ,3¡æ
2020-01-10,1¡æ,3¡æ
2020-01-11,-1¡æ,7¡æ
2020-01-12,-2¡æ,8¡æ
2020-01-13,-2¡æ,9¡æ
2020-01-14,0¡æ,9¡æ
2020-01-15,1¡æ,3¡æ
2020-01-16,0¡æ,4¡æ
2020-01-17,-2¡æ,7¡æ
2020-01-18,-1¡æ,8¡æ
2020-01-19,-1¡æ,11¡æ
2020-01-20,-1¡æ,12¡æ
2020-01-21,4¡æ,8¡æ
2020-01-22,2¡æ,6¡æ
2020-01-23,3¡æ,7¡æ
2020-01-24,5¡æ,7¡æ
2020-01-25,3¡æ,5¡æ
2020-01-26,1¡æ,4¡æ
2020-01-27,1¡æ,6¡æ
2020-01-28,-2¡æ,9¡æ
2020-01-29,-1¡æ,12¡æ
2020-01-30,1¡æ,13¡æ
2020-01-31,0¡æ,13¡æ
2020-02-01,1¡æ,13¡æ
2020-02-02,5¡æ,12¡æ
2020-02-03,3¡æ,12¡æ
2020-02-04,1¡æ,14¡æ
2020-02-05,2¡æ,15¡æ
2020-02-06,3¡æ,9¡æ
2020-02-07,3¡æ,8¡æ
2020-02-08,2¡æ,10¡æ
2020-02-09,2¡æ,13¡æ
2020-02-10,3¡æ,10¡æ
2020-02-11,5¡æ,13¡æ
2020-02-12,5¡æ,15¡æ
2020-02-13,6¡æ,17¡æ
2020-02-14,8¡æ,18¡æ
2020-02-15,-1¡æ,10¡æ
2020-02-16,-2¡æ,7¡æ
2020-02-17,-3¡æ,13¡æ
2020-02-18,-1¡æ,14¡æ
2020-02-19,3¡æ,14¡æ
2020-02-20,2¡æ,17¡æ
2020-02-21,7¡æ,15¡æ
2020-02-22,3¡æ,17¡æ
2020-02-23,8¡æ,18¡æ
2020-02-24,11¡æ,25¡æ
2020-02-25,12¡æ,22¡æ
2020-02-26,11¡æ,16¡æ
2020-02-27,8¡æ,13¡æ
2020-02-28,6¡æ,10¡æ
2020-02-29,6¡æ,14¡æ
2020-03-01,5¡æ,18¡æ
2020-03-02,6¡æ,13¡æ
2020-03-03,5¡æ,10¡æ
2020-03-04,5¡æ,16¡æ
2020-03-05,5¡æ,15¡æ
2020-03-06,9¡æ,14¡æ
2020-03-07,7¡æ,18¡æ
2020-03-08,12¡æ,17¡æ
2020-03-09,9¡æ,15¡æ
2020-03-10,5¡æ,16¡æ
2020-03-11,4¡æ,18¡æ
2020-03-12,9¡æ,17¡æ
2020-03-13,9¡æ,17¡æ
2020-03-14,5¡æ,19¡æ
2020-03-15,5¡æ,21¡æ
2020-03-16,11¡æ,19¡æ
2020-03-17,9¡æ,22¡æ
2020-03-18,8¡æ,24¡æ
2020-03-19,9¡æ,23¡æ
2020-03-20,10¡æ,25¡æ
2020-03-21,13¡æ,25¡æ
2020-03-22,16¡æ,24¡æ
2020-03-23,14¡æ,23¡æ
2020-03-24,13¡æ,23¡æ
2020-03-25,17¡æ,22¡æ
2020-03-26,13¡æ,24¡æ
2020-03-27,4¡æ,17¡æ
2020-03-28,4¡æ,10¡æ
2020-03-29,6¡æ,8¡æ
2020-03-30,5¡æ,11¡æ
2020-03-31,5¡æ,12¡æ
2020-04-01,6¡æ,16¡æ
2020-04-02,10¡æ,17¡æ
2020-04-03,10¡æ,18¡æ
2020-04-04,9¡æ,20¡æ
2020-04-05,11¡æ,22¡æ
2020-04-06,11¡æ,22¡æ
2020-04-07,10¡æ,24¡æ
2020-04-08,10¡æ,25¡æ
2020-04-09,10¡æ,26¡æ
2020-04-10,10¡æ,18¡æ
2020-04-11,5¡æ,13¡æ
2020-04-12,5¡æ,21¡æ
2020-04-13,6¡æ,23¡æ
2020-04-14,11¡æ,23¡æ
2020-04-15,10¡æ,27¡æ
2020-04-16,14¡æ,29¡æ
2020-04-17,19¡æ,26¡æ
2020-04-18,13¡æ,19¡æ
2020-04-19,12¡æ,21¡æ
2020-04-20,11¡æ,16¡æ
2020-04-21,11¡æ,17¡æ
2020-04-22,11¡æ,20¡æ
2020-04-23,13¡æ,21¡æ
2020-04-24,9¡æ,25¡æ
2020-04-25,11¡æ,27¡æ
2020-04-26,13¡æ,28¡æ
2020-04-27,14¡æ,28¡æ
2020-04-28,10¡æ,26¡æ
2020-04-29,15¡æ,30¡æ
2020-04-30,20¡æ,30¡æ
2020-05-01,19¡æ,30¡æ
2020-05-02,20¡æ,34¡æ
2020-05-03,21¡æ,34¡æ
2020-05-04,23¡æ,35¡æ
2020-05-05,19¡æ,26¡æ
2020-05-06,20¡æ,26¡æ
2020-05-07,20¡æ,27¡æ
2020-05-08,19¡æ,24¡æ
2020-05-09,18¡æ,21¡æ
